Game,Pick,Stars,Model Win %,Pick Win %,Model Edge,Grade,Away Pitcher,Home Pitcher,Away ERA,Home ERA,Away OPS,Home OPS,Away Run Diff,Home Run Diff,Away Pyth %,Home Pyth %,Away Win %,Home Win %,Vegas Win %,Value Edge,Bet Score
Chicago Cubs @ Milwaukee Brewers,Milwaukee Brewers,⭐⭐⭐⭐⭐,61.9,61.9,23.8,A++,David Peterson,Kyle Harrison,6.09,2.5,0.738,0.732,33.0,127.0,54.3,67.6,38.1,61.9,60.9,1.0,24.0
Colorado Rockies @ Minnesota Twins,Minnesota Twins,⭐⭐⭐⭐,60.2,60.2,20.4,A+,Michael Lorenzen,Mike Paredes,7.11,4.05,0.736,0.733,-91.0,-28.0,39.4,46.7,39.8,60.2,58.8,1.4,20.8
Kansas City Royals @ Chicago White Sox,Chicago White Sox,⭐⭐⭐,56.6,56.6,13.3,A,Michael Wacha,Davis Martin,3.31,3.0,0.707,0.738,-70.0,18.0,41.0,52.4,43.4,56.6,57.6,-1.0,13.0
Los Angeles Dodgers @ San Diego Padres,Los Angeles Dodgers,⭐⭐⭐,56.7,56.7,13.5,A,Yoshinobu Yamamoto,Kyle Hart,2.65,4.13,0.781,0.661,138.0,1.0,68.7,50.2,56.7,43.3,59.8,-3.1,12.7
Athletics @ Los Angeles Angels,Los Angeles Angels,⭐⭐⭐,56.0,56.0,12.0,A,Jack Perkins,Reid Detmers,6.26,3.93,0.743,0.717,-48.0,-42.0,44.1,44.7,44.0,56.0,53.3,2.7,12.7
Arizona Diamondbacks @ Tampa Bay Rays,Arizona Diamondbacks,⭐,53.3,53.3,6.6,B,Jose Cabrera,Cole Sulser,1.5,5.45,0.695,0.727,-25.0,18.0,46.5,52.6,53.3,46.7,38.6,14.7,10.3
Miami Marlins @ St. Louis Cardinals,St. Louis Cardinals,⭐⭐,55.2,55.2,10.3,B,Ryan Gusto,Andre Pallante,6.0,3.59,0.712,0.721,7.0,-5.0,51.0,49.3,44.8,55.2,58.7,-3.5,9.4
Seattle Mariners @ Cleveland Guardians,Seattle Mariners,⭐⭐,54.0,54.0,8.0,B,Logan Gilbert,Slade Cecconi,3.29,4.48,0.695,0.675,6.0,-10.0,50.9,48.5,54.0,46.0,51.9,2.1,8.5
Houston Astros @ Detroit Tigers,Detroit Tigers,⭐⭐,53.6,53.6,7.1,B,Kai-Wei Teng,Framber Valdez,4.36,4.05,0.725,0.708,-44.0,-1.0,44.5,49.9,46.4,53.6,47.8,5.8,8.5
Philadelphia Phillies @ New York Mets,Philadelphia Phillies,⭐⭐,55.8,55.8,11.7,B,Tim Mayza,Christian Scott,2.95,3.2,0.703,0.671,7.0,-50.0,51.0,43.0,55.8,44.2,73.8,-18.0,7.2
Washington Nationals @ Baltimore Orioles,Washington Nationals,⭐,51.4,51.4,2.8,C,Foster Griffin,Brandon Young,3.15,3.07,0.739,0.722,2.0,-23.0,50.2,47.1,51.4,48.6,38.0,13.4,6.2
Cincinnati Reds @ Pittsburgh Pirates,Cincinnati Reds,⭐,52.0,52.0,4.1,C,Chase Burns,Jared Jones,2.27,5.76,0.699,0.748,-46.0,23.0,43.7,52.8,52.0,48.0,46.9,5.1,5.4
New York Yankees @ Boston Red Sox,New York Yankees,⭐,51.7,51.7,3.5,C,Gerrit Cole,Jake Bennett,4.06,3.27,0.756,0.7,102.0,4.0,64.1,50.6,51.7,48.3,49.5,2.2,4.0
Atlanta Braves @ San Francisco Giants,Atlanta Braves,⭐,52.8,52.8,5.6,C,Bryce Elder,Logan Webb,3.71,3.35,0.728,0.727,94.0,-56.0,63.5,42.2,52.8,47.2,60.9,-8.1,3.6
Texas Rangers @ Toronto Blue Jays,Toronto Blue Jays,⭐,51.1,51.1,2.3,C,Cal Quantrill,Dylan Cease,3.31,3.02,0.712,0.703,-9.0,-32.0,48.7,45.5,48.9,51.1,56.7,-5.6,0.9
